rarity;cardId;dbfId;name;cardSet;type;text;playerClass;locale;mechanics;faction;health;collectible;img;imgGold;attack;race;cost;flavor;artist;howToGet;howToGetGold;durability;elite;multiClassGroup;classes;armor;Taunt;Overload;ImmuneToSpellpower;Charge;Battlecry;Freeze;Divine Shield;Secret;Aura;Spell Damage;Windfury;AdjacentBuff;Poisonous;Discover;Silence;Stealth;Deathrattle;AffectedBySpellPower;Combo;Lifesteal;Inspire;InvisibleDeathrattle;AIMustPlay;Jade Golem;Adapt;Quest;Recruit;Rush;Echo;Magnetic;Overkill;Twinspell;Reborn;number mechanics
Free;CS2_103;344;Charge;Basic;Spell;give a friendly minion charge it can t attack heroes this turn ;Warrior;enUS;Charge;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_103.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_103_premium.gif;0.0;None;1.0;"""Guys! Guys! Slow down!"" - some kind of non-warrior minion";Alex Horley Orlandelli;True;True;0.0;False;;;0.0;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1.0
Free;CS2_005;1050;Claw;Basic;Spell;give your hero 2 attack this turn gain 2 armor ;Druid;enUS;None;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_005.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_005_premium.gif;0.0;None;1.0;The claw decides who will stay and who will go.;Dany Orizio;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;CS2_063;982;Corruption;Basic;Spell;choose an enemy minion at the start of your turn destroy it ;Warlock;enUS;None;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_063.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_063_premium.gif;0.0;None;1.0;It starts with stealing a pen from work, and before you know it, BOOOM!  Corrupted!;Wayne Reynolds;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;CS2_074;459;Deadly Poison;Basic;Spell;give your weapon 2 attack ;Rogue;enUS;None;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_074.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_074_premium.gif;0.0;None;1.0;Rogues guard the secrets to poison-making carefully, lest magi start incorporating poison into their spells.  Poisonbolt? Rain of Poison?  Poison Elemental?  Nobody wants that.;Trevor Jacobs;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;CS2_189;389;Elven Archer;Basic;Minion;battlecry deal 1 damage ;Neutral;enUS;Battlecry;Horde;1.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_189.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_189_premium.gif;1.0;None;1.0;Don't bother asking her out on a date.  She'll shoot you down.;Steve Prescott;False;True;0.0;False;;;0.0;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1.0
Free;CS2_037;971;Frost Shock;Basic;Spell;deal 1 damage to an enemy character and freeze it ;Shaman;enUS;Freeze;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_037.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_037_premium.gif;0.0;None;1.0;FROST SHOCK!;Alex Horley Orlandelli;True;True;0.0;False;;;0.0;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1.0
Free;CS1_042;922;Goldshire Footman;Basic;Minion;taunt;Neutral;enUS;Taunt;Alliance;2.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS1_042.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS1_042_premium.gif;1.0;None;1.0;If 1/2 minions are all that is defending Goldshire, you would think it would have been overrun years ago.;Donato Giancola;False;True;0.0;False;;;0.0;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1.0
Free;EX1_508;510;Grimscale Oracle;Basic;Minion;your other murlocs have 1 attack ;Neutral;enUS;None;Neutral;1.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_508.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_508_premium.gif;1.0;Murloc;1.0;These are the brainy murlocs.  It turns out that doesn’t mean much.;Phil Saunders;False;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;EX1_371;727;Hand of Protection;Basic;Spell;give a minion divine shield ;Paladin;enUS;Divine Shield;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_371.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_371_premium.gif;0.0;None;1.0;This spell has been renamed so many times, even paladins don’t know what it should be called anymore.;Clint Langley;True;True;0.0;False;;;0.0;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1.0
Free;BCON_012;49237;Hand of Salvation;Basic;Spell;secret when your second minion dies in a turn return it to life ;Paladin;enUS;Secret;None;0.0;False;http://wow.zamimg.com/images/hearthstone/cards/enus/original/BCON_012.png;http://wow.zamimg.com/images/hearthstone/cards/enus/animated/BCON_012_premium.gif;0.0;None;1.0;;;False;False;0.0;False;;;0.0;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1.0
Free;NEW1_009;764;Healing Totem;Basic;Minion;at the end of your turn restore 1 health to all friendly minions ;Shaman;enUS;None;None;2.0;False;http://wow.zamimg.com/images/hearthstone/cards/enus/original/NEW1_009.png;http://wow.zamimg.com/images/hearthstone/cards/enus/animated/NEW1_009_premium.gif;0.0;Totem;1.0;;;False;False;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;CS1_130;279;Holy Smite;Basic;Spell;deal 2 damage ;Priest;enUS;None;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS1_130.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS1_130_premium.gif;0.0;None;1.0;It doesn't matter how pious you are.  Everyone needs a good smiting now and again.;Steve Ellis;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;EX1_360;854;Humility;Basic;Spell;change a minion s attack to 1 ;Paladin;enUS;None;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_360.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_360_premium.gif;0.0;None;1.0;"This card makes something really damp.  Oh wait.  That's ""Humidity.""";Daren Bader;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;CS2_091;383;Light's Justice;Basic;Weapon;;Paladin;enUS;None;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_091.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_091_premium.gif;1.0;None;1.0;Prince Malchezaar was a collector of rare weapons. He'd animate them and have them dance for him.;Glenn Rane;True;True;4.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Common;EX1_025t;59;Mechanical Dragonling;Basic;Minion;;Neutral;enUS;None;Neutral;1.0;False;http://wow.zamimg.com/images/hearthstone/cards/enus/original/EX1_025t.png;http://wow.zamimg.com/images/hearthstone/cards/enus/animated/EX1_025t_premium.gif;2.0;Mech;1.0;;;False;False;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;CS2_003;1099;Mind Vision;Basic;Spell;put a copy of a random card in your opponent s hand into your hand ;Priest;enUS;None;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_003.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_003_premium.gif;0.0;None;1.0;I see what you did there.;Michael Komarck;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;CS2_027;1084;Mirror Image;Basic;Spell;summon two 0 2 minions with taunt ;Mage;enUS;Taunt;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_027.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_027_premium.gif;0.0;None;1.0;Oh hey it's Mirror Image! !egamI rorriM s'ti yeh hO;Jim Nelson;True;True;0.0;False;;;0.0;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1.0
Free;EX1_302;1092;Mortal Coil;Basic;Spell;deal 1 damage to a minion if that kills it draw a card ;Warlock;enUS;None;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_302.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_302_premium.gif;0.0;None;1.0;If your spells look like horrifying skulls, let's be honest, you should get to draw some cards.;Matt Gaser;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;CS2_168;191;Murloc Raider;Basic;Minion;;Neutral;enUS;None;Alliance;1.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_168.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_168_premium.gif;2.0;Murloc;1.0;Mrrraggglhlhghghlgh, mrgaaag blarrghlgaahahl mrgggg glhalhah a bghhll graggmgmg Garrosh mglhlhlh mrghlhlhl!!;Dan Scott;False;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Common;EX1_506a;1078;Murloc Scout;Basic;Minion;;Neutral;enUS;None;Neutral;1.0;False;http://wow.zamimg.com/images/hearthstone/cards/enus/original/EX1_506a.png;http://wow.zamimg.com/images/hearthstone/cards/enus/animated/EX1_506a_premium.gif;1.0;Murloc;1.0;;;False;False;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;CS2_235;1650;Northshire Cleric;Basic;Minion;whenever a minion is healed draw a card ;Priest;enUS;None;None;3.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_235.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_235_premium.gif;1.0;None;1.0;They help the downtrodden and distressed.  Also they sell cookies.;Terese Nielsen;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;CS2_004;613;Power Word: Shield;Basic;Spell;give a minion 2 health draw a card ;Priest;enUS;None;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_004.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_004_premium.gif;0.0;None;1.0;Sure the extra protection is nice, but the shield really reduces visibility.;Jessica Jung;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;EX1_192;54865;Radiance;Basic;Spell;restore 5 health to your hero ;Priest;enUS;None;None;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_192.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_192_premium.gif;0.0;None;1.0;Because you're worth it!;James Ryman;False;False;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;CS2_050;537;Searing Totem;Basic;Minion;;Shaman;enUS;None;Neutral;1.0;False;http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_050.png;http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_050_premium.gif;1.0;Totem;1.0;;;False;False;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Common;CS2_tk1;796;Sheep;Basic;Minion;;Neutral;enUS;None;Neutral;1.0;False;http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_tk1.png;http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_tk1_premium.gif;1.0;Beast;1.0;;;False;False;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;CS2_101t;1652;Silver Hand Recruit;Basic;Minion;;Paladin;enUS;None;None;1.0;False;http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_101t.png;http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_101t_premium.gif;1.0;None;1.0;;;False;False;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;CS2_075;710;Sinister Strike;Basic;Spell;deal 3 damage to the enemy hero ;Rogue;enUS;None;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_075.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_075_premium.gif;0.0;None;1.0;There's something about this strike that just feels off.  Sinister, even.;Frank Cho;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Common;skele11;1077;Skeleton;Basic;Minion;;Neutral;enUS;None;Neutral;1.0;False;http://wow.zamimg.com/images/hearthstone/cards/enus/original/skele11.png;http://wow.zamimg.com/images/hearthstone/cards/enus/animated/skele11_premium.gif;1.0;None;1.0;;;False;False;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;BCON_016;49241;Smoke Bomb;Basic;Spell;give a minion stealth until your next turn draw a card ;Rogue;enUS;None;None;0.0;False;http://wow.zamimg.com/images/hearthstone/cards/enus/original/BCON_016.png;http://wow.zamimg.com/images/hearthstone/cards/enus/animated/BCON_016_premium.gif;0.0;None;1.0;;;False;False;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;EX1_308;974;Soulfire;Basic;Spell;deal 4 damage discard a random card ;Warlock;enUS;None;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_308.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_308_premium.gif;0.0;None;1.0;Are you lighting a soul on fire? Or burning someone with your OWN soul? This seems like an important distinction.;Raymond Swanland;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;CS2_051;850;Stoneclaw Totem;Basic;Minion;taunt;Shaman;enUS;Taunt;Neutral;2.0;False;http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_051.png;http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_051_premium.gif;0.0;Totem;1.0;;;False;False;0.0;False;;;0.0;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1.0
Free;CS2_171;648;Stonetusk Boar;Basic;Minion;charge;Neutral;enUS;Charge;Neutral;1.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_171.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_171_premium.gif;1.0;Beast;1.0;This card is boaring.;Howard Lyon;False;True;0.0;False;;;0.0;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1.0
Free;DS1_175;606;Timber Wolf;Basic;Minion;your other beasts have 1 attack ;Hunter;enUS;Aura;Neutral;1.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/DS1_175.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/DS1_175_premium.gif;1.0;Beast;1.0;Other beasts totally dig hanging out with timber wolves.;Malcolm Davis;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1.0
Free;DS1_184;1047;Tracking;Basic;Spell;look at the top 3 cards of your deck draw one and discard the others ;Hunter;enUS;None;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/DS1_184.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/DS1_184_premium.gif;0.0;None;1.0;For the person who just cannot decide what card to put into a deck!;Mauro Cascioli;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;CS2_065;48;Voidwalker;Basic;Minion;taunt;Warlock;enUS;Taunt;Neutral;3.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_065.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_065_premium.gif;1.0;Demon;1.0;"No relation to ""The Voidsteppers"", the popular Void-based dance troupe.";Alex Horley Orlandelli;True;True;0.0;False;;;0.0;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1.0
Free;EX1_011;132;Voodoo Doctor;Basic;Minion;battlecry restore 2 health ;Neutral;enUS;Battlecry;Horde;1.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_011.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_011_premium.gif;2.0;None;1.0;Voodoo is an oft-misunderstood art. But it <i>is</i> art.;Karl Richardson;False;True;0.0;False;;;0.0;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1.0
